year,municipality,remu,serv,d_goods,total_expenses
2006,MUNICIPALIDAD DE POAS,226460423.25,87607002.55999999,7531480.55,467656520.40000004
2006,MUNICIPALIDAD DE POCOCI,558173521.21,172316166.75000003,371675072.53000003,1481256024.8900003
2006,MUNICIPALIDAD DE PUNTARENAS,1295220979.9199998,270294879.2,588893176.1999999,2994610090.96
2006,MUNICIPALIDAD DE PURISCAL,187012603.09999982,46254356.86999999,50013365.4,399541023.8599997
2006,MUNICIPALIDAD DE QUEPOS,254243887.14,158857495.68,157224465.12,729415319.7
2006,MUNICIPALIDAD DE SAN CARLOS,869761001.0299997,376900641.62999994,339438882.66,2717414367.169999
2006,MUNICIPALIDAD DE SAN ISIDRO DE HEREDIA,221253439.95999998,64622201.75,31937185.0,452246930.65
2006,MUNICIPALIDAD DE SAN JOSE,11508530587.660002,2725995748.899999,716503747.9699999,19992250509.270004
2006,MUNICIPALIDAD DE SAN MATEO,60483709.52000001,49534782.5,54894647.13,244640695.97
2006,MUNICIPALIDAD DE SAN PABLO DE HEREDIA,266601651.6500001,316243628.16999996,14130274.249999998,719824686.0600001
2006,MUNICIPALIDAD DE SAN RAFAEL DE HEREDIA,261906339.96000004,235278133.26,75016676.35,729962480.49
2006,MUNICIPALIDAD DE SAN RAMON,616365689.69,131092371.01000004,43590684.0,1114709623.46
2006,MUNICIPALIDAD DE SANTA ANA,606021455.9499998,306474659.71,598484299.02,2124402111.4399998
2006,MUNICIPALIDAD DE SANTA BARBARA DE HEREDIA,190598128.75999996,90439145.57,20833622.96,420082833.07
2006,MUNICIPALIDAD DE SANTA CRUZ,524488678.3700001,335179220.87,532076576.4499999,1855550794.57
2006,MUNICIPALIDAD DE SANTO DOMINGO DE HEREDIA,459347767.8199999,183063173.88000003,150055829.44000003,1152320375.19
2006,MUNICIPALIDAD DE SARAPIQUI,242084625.31999993,198561182.67,146614900.4,992543491.67
2006,MUNICIPALIDAD DE SARCHI,146468202.83,47739810.120000005,33790901.23,337826259.44000006
2006,MUNICIPALIDAD DE SIQUIRRES,273403206.40999997,89027458.7,133750511.69999999,755428137.5799999
2006,MUNICIPALIDAD DE TALAMANCA,200328247.0,94354584.46000001,128223962.1,627227291.1899999
2006,MUNICIPALIDAD DE TARRAZU,101435372.54999994,51350857.81999999,48155240.08,308198174.43
