year,municipality,remu_bas,remu_ev,rentals,serv_cf,cap_prot,maintenance,cap_mef,cap_cai,pe_goods
2006,MUNICIPALIDAD DE MORA,84413045.13,7426174.32,5973333.32,2135805.2800000003,296674.5,26449497.51,34705417.31,3550000.0,10000000.0
2006,MUNICIPALIDAD DE MORAVIA,319104585.96000004,18461885.59,3629000.0,4957016.699999999,523509.27,37685259.65,5190350.8,37903208.010000005,
2006,MUNICIPALIDAD DE NANDAYURE,88336414.81,13357993.6,32591000.0,3640312.25,1179337.0,10843810.56,45922401.56,22704825.0,
2006,MUNICIPALIDAD DE NARANJO,138997947.94,11031834.51,24602872.0,1996826.5,1918067.0,12877368.52,8539250.95,391998.75,9483560.5
2006,MUNICIPALIDAD DE NICOYA,260537882.51999998,24084545.55,88483850.0,5478764.0,1358125.0,4333108.0,13774950.0,305962126.87,0.0
2006,MUNICIPALIDAD DE OREAMUNO,175685618.88,27702374.02,71492390.0,4096197.99,1203521.3,21888735.25,9036039.11,161904915.69,139929113.0
2006,MUNICIPALIDAD DE OROTINA,132088380.51,7935082.0600000005,2663000.0,1520404.0,425374.0,15873613.72,9256046.870000001,3295000.0,
2006,MUNICIPALIDAD DE OSA,90317658.79,6921354.41,7197200.0,1264352.48,400000.0,18816634.25,238393089.95999998,18306580.0,
2006,MUNICIPALIDAD DE PALMARES,117659627.96,10163624.67,2365671.0,2939770.0,1569376.4,15866261.8,10627181.96,1300150.5,0.0
2006,MUNICIPALIDAD DE PARAISO,246788002.95999998,21854239.4,5869620.0,1988490.68,4451945.42,12938789.95,30180146.189999998,18771980.51,5000000.0
2006,MUNICIPALIDAD DE PARRITA,90854987.58000001,10943236.99,,1000000.0,2301800.0,70497835.97,3890989.4,282015.41,
2006,MUNICIPALIDAD DE PEREZ ZELEDON,499047991.14000005,41956373.95,126233060.92,12829070.200000001,32546606.85,17591153.91,369997339.62,43148710.0,0.0
2006,MUNICIPALIDAD DE POAS,125356591.48,12371680.0,4081500.0,2766375.2,2138222.5,3707395.45,7053366.05,,478114.5
2006,MUNICIPALIDAD DE POCOCI,290478326.32,45006713.79,29399931.0,12099028.510000002,8622915.85,14463779.9,33244301.18,338430771.35,0.0
2006,MUNICIPALIDAD DE PUNTARENAS,603869644.58,82917054.52000001,47973915.75,10910394.030000001,2484469.9000000004,45864390.839999996,223243320.79999998,365584174.4,0.0
2006,MUNICIPALIDAD DE PURISCAL,99493187.21000001,9486683.44,6537020.0,2521355.0,116000.0,5681771.57,41468365.4,8545000.0,
2006,MUNICIPALIDAD DE QUEPOS,148883144.63000003,15581688.850000001,5675050.0,2031196.5,1488346.61,21498845.650000002,14973815.07,142250650.04999998,0.0
2006,MUNICIPALIDAD DE SAN CARLOS,475052333.3,68066143.14,138046763.93,22253560.14,22514956.78,79825975.85,70941887.16,236260110.5,32199885.0
2006,MUNICIPALIDAD DE SAN ISIDRO DE HEREDIA,102017823.96,20096302.0,14175755.53,1588171.53,1179669.0,4980911.0,11806015.0,19931170.0,
2006,MUNICIPALIDAD DE SAN JOSE,6126914404.74,737162462.47,224253581.24,393120843.13,202516808.95000002,204093538.86,341788915.44000006,366616748.03000003,6588084.5
2006,MUNICIPALIDAD DE SAN MATEO,37235538.870000005,2557746.31,25024181.43,13134629.0,444360.0,1963042.75,33903829.25,20990817.880000003,0.0
2006,MUNICIPALIDAD DE SAN PABLO DE HEREDIA,167361626.3,17708066.73,5500077.6,2449672.34,7817241.86,29608609.909999996,14130274.249999998,,
2006,MUNICIPALIDAD DE SAN RAFAEL DE HEREDIA,141166004.96,16983451.630000003,470630.0,7000554.859999999,4905147.0,7141661.0,40138586.4,34878089.95,0.0
2006,MUNICIPALIDAD DE SAN RAMON,372333805.90000004,20343041.57,75346100.0,5518395.4,2506876.05,9179010.05,34600484.0,8940200.0,
2006,MUNICIPALIDAD DE SANTA ANA,321093567.99000007,27601926.23,35846023.0,22114719.03,4584604.21,23562735.07,45965274.51,552519024.51,
2006,MUNICIPALIDAD DE SANTA BARBARA DE HEREDIA,118038210.07000001,10010696.51,425000.0,1601861.54,139000.0,3553057.2600000002,20833622.96,0.0,0.0
2006,MUNICIPALIDAD DE SANTA CRUZ,257825989.63,48948259.13,33360910.45,11086578.760000002,4376526.45,29079829.87,152022104.79999998,374054471.65,6000000.0
2006,MUNICIPALIDAD DE SANTO DOMINGO DE HEREDIA,240439309.0,32368536.25,35228044.24,7349864.5,11448737.87,25863227.53,42220490.7,87835338.74,20000000.0
2006,MUNICIPALIDAD DE SARAPIQUI,108412064.68,37049023.7,41972936.12,3668552.7600000002,14404168.030000001,60104283.19,29552200.4,114162700.0,2900000.0
2006,MUNICIPALIDAD DE SARCHI,84855122.37,6224554.73,2276658.0,3079812.8200000003,1406054.3,3121999.6,22357402.23,11433499.0,0.0
2006,MUNICIPALIDAD DE SIQUIRRES,135337601.0,21419187.0,5324250.0,3651029.79,6003178.35,14522379.75,25518618.35,102161893.35,6000000.0
2006,MUNICIPALIDAD DE TALAMANCA,113712355.28999999,17775792.0,25181469.5,6457978.0,3049070.0,36421666.0,8802042.1,119421920.0,
2006,MUNICIPALIDAD DE TARRAZU,63111069.69,4764180.06,23901749.48,1117308.97,485780.0,4531862.56,2919980.08,42235260.0,3000000.0
2006,MUNICIPALIDAD DE TIBAS,404301326.0,11896018.0,11217651.0,9432182.0,2537670.0,12075814.0,17063506.0,17348812.0,
2006,MUNICIPALIDAD DE TILARAN,110926700.33,15257625.78,79779775.7,1767924.37,231648.0,19660710.39,6082073.050000001,1980188.0,0.0
2006,MUNICIPALIDAD DE TURRIALBA,254795110.76999998,47445478.25,148931840.8,7586672.84,6919136.28,31743285.0,79077252.03,,0.0
2006,MUNICIPALIDAD DE TURRUBARES,30113328.04,1645395.88,,101690.0,0.0,639089.0,9342550.530000001,55025000.0,0.0
2006,MUNICIPALIDAD DE UPALA,107209067.86,8786195.0,6790000.0,523788.0,521703.0,3804657.88,37447995.0,144642884.0,0.0
2006,MUNICIPALIDAD DE VASQUEZ DE CORONADO,362537666.71,25330895.54,3041684.05,17163198.009999998,1754333.1,11087726.65,121985041.38,39550000.0,
2006,MUNICIPALIDAD DE ZARCERO,60831610.5,8089042.0,8071493.0,5055309.47,249974.0,9760903.0,6141040.0,,0.0
2007,MUNICIPALIDAD DE ABANGARES,120074898.0,8202051.6,181635251.82999998,1272039.45,14216306.29,4915239.69,48847509.59000001,11749645.51,0.0
2007,MUNICIPALIDAD DE ACOSTA,65595879.73,13681875.05,,649875.9,304705.0,15128825.75,41234302.90000001,23145000.0,667422.0
2007,MUNICIPALIDAD DE ALAJUELA,1027050006.6499999,176098070.01999998,23431706.5,101081476.33000001,87596367.27000001,58413423.11,162036427.07999998,276274333.14,473155455.0
2007,MUNICIPALIDAD DE ALAJUELITA,170838386.14,13603917.0,8287961.0,1617152.38,158000.0,14820126.5,60667371.8,130929518.75,
2007,MUNICIPALIDAD DE ALVARADO DE PACAYAS,55900035.849999994,2738589.3,6671667.0,86293.0,,4917392.0,21784750.0,,
2007,MUNICIPALIDAD DE ASERRI,177180400.47,20829747.82,27439696.0,2540544.1799999997,3223919.0,32604566.46,15695418.110000001,967000.0,39657947.0
2007,MUNICIPALIDAD DE ATENAS,114758949.17,11367298.8,8667681.93,1005939.64,5565110.02,10478664.27,30301922.759999998,2948820.0,0.0
2007,MUNICIPALIDAD DE BAGACES,109557276.86999999,18074232.830000002,38647340.0,11958194.32,3491475.0,28827159.369999997,54272220.14,0.0,
2007,MUNICIPALIDAD DE BARVA,178671690.63000003,14703922.76,100000.0,1014855.71,4034160.54,9750450.96,27919618.87,1200000.0,0.0
2007,MUNICIPALIDAD DE BELEN,376332836.94000006,49779195.61,27027002.55,51250483.150000006,60908485.77,47061478.059999995,96393083.52,184683452.49,0.0
2007,MUNICIPALIDAD DE BUENOS AIRES,111982882.81,13913903.19,73999242.0,2691125.2399999998,1960230.0,36527990.98,127121566.91,270985418.3,0.0
2007,MUNICIPALIDAD DE CARRILLO GUANACASTE,238557040.58999997,24329709.45,85850834.83,6565353.71,2327168.77,19718587.24,150396113.51,94660974.86,0.0
2007,MUNICIPALIDAD DE CARTAGO,1191157285.0099998,154721087.4,48263301.65,40574835.589999996,32662883.0,164936333.42,1064838868.19,300371887.72,0.0
2007,MUNICIPALIDAD DE CAÑAS,177964193.96,26857333.1,65545878.53,4143960.25,2677924.75,18340011.0,142638360.6,850000.0,
2007,MUNICIPALIDAD DE CORREDORES,166366101.01,21059265.52,24700000.0,5642024.8,1725364.0,19288236.970000003,73103140.74000001,3080000.0,
2007,MUNICIPALIDAD DE COTO BRUS,91540780.55,5516633.3100000005,3759000.0,1526781.6,0.0,6928070.8,52667685.95,213727520.0,
2007,MUNICIPALIDAD DE CURRIDABAT,535604994.05,55143684.18,4850990.0,44069171.230000004,8180810.74,39654196.39,150619465.42000002,90353520.0,0.0
2007,MUNICIPALIDAD DE DESAMPARADOS,794640754.79,132032146.33,27177452.0,22259664.330000002,14825339.82,71143749.50000001,37343748.35,18481684.099999998,0.0
2007,MUNICIPALIDAD DE DOTA,34292870.11,3119900.0,,0.0,474390.0,606440.61,434085.0,104284702.32,
2007,MUNICIPALIDAD DE EL GUARCO,121134364.88000001,18179804.4,9625000.0,6042960.38,6458551.0,10157504.85,94278382.22,20191736.0,0.0
2007,MUNICIPALIDAD DE ESCAZU,556017086.09,72918854.88,146304014.98,38447709.89,16521538.129999999,28973733.35,187145557.50000003,310527372.40000004,0.0
2007,MUNICIPALIDAD DE ESPARZA,191699550.31,25040934.88,9239980.0,2975271.18,3182908.94,6982318.0,46943292.480000004,104116550.4,
2007,MUNICIPALIDAD DE FLORES,106515778.8,10039445.52,5380416.8,3020003.2800000003,2222880.74,36769670.730000004,8513845.8,37321095.25,
2007,MUNICIPALIDAD DE GARABITO,253733960.79,22612262.060000002,237859278.0,4868981.300000001,14297892.559999999,29836029.119999997,129632243.46000001,175013939.6,125068468.0
2007,MUNICIPALIDAD DE GOICOECHEA,698706949.4100001,80622144.64,40515800.0,62921871.43,6328261.75,188616093.24000004,227803289.02,133585784.84,
2007,MUNICIPALIDAD DE GOLFITO,190886647.9,26435228.75,122299712.06,10293355.75,9890098.0,42508784.4,67306290.41,406978498.24000007,0.0
2007,MUNICIPALIDAD DE GRECIA,315170636.34,36660241.15,26022861.0,11175682.7,8687677.4,8703276.6,82255444.7,10352665.15,15356880.0
2007,MUNICIPALIDAD DE GUACIMO,109302734.89,13114866.54,13319000.0,4376342.07,2747412.7,31026943.2,40927627.989999995,24595000.0,
2007,MUNICIPALIDAD DE GUATUSO,54280098.05,9270955.0,179078158.0,1050500.0,882700.0,7307760.0,14178653.0,915000.0,0.0
2007,MUNICIPALIDAD DE HEREDIA,882202090.18,95615238.53999999,7341826.5,8519739.129999999,10643951.5,24305226.61,159066039.73,539661056.0699999,18821400.0
2007,MUNICIPALIDAD DE HOJANCHA,72210429.0,8790227.4,40127995.0,1161855.0,6171756.1,6780149.0,7577457.92,,0.0
2007,MUNICIPALIDAD DE JIMENEZ,50531816.88999999,3614905.0,59449000.0,1452112.72,850000.0,44929528.75,650000.0,4562000.0,
2007,MUNICIPALIDAD DE LA CRUZ GUANACASTE,109502025.65,15228799.149999999,16700450.0,25794874.46,743467.0,132556535.75,31410048.0,137652088.0,0.0
2007,MUNICIPALIDAD DE LA UNION,428996088.18,64359139.8,12631625.56,7337328.15,7810358.399999999,31098180.730000004,92194009.89999999,57085000.0,
2007,MUNICIPALIDAD DE LEON CORTES,43394688.57,4320458.0,1395000.0,469295.0,398218.0,3630906.6,2373518.4299999997,87958699.08999999,
2007,MUNICIPALIDAD DE LIBERIA,461220716.49,50372302.61,42695000.0,10168004.21,8522151.37,13120336.43,105606075.86,157983685.74,0.0
2007,MUNICIPALIDAD DE LIMON,505992306.01,44254734.480000004,35502118.4,20488860.5,22781559.5,265737697.51,173664371.26,2500000.0,
2007,MUNICIPALIDAD DE LOS CHILES,74684617.3,10661490.28,60113670.16,115348204.9,245000.0,6460078.3,6058848.609999999,39125658.4,0.0
2007,MUNICIPALIDAD DE MATINA,135285915.09,14654614.7,9385560.0,4000571.8,7292754.61,63652111.81,19267361.880000003,127946759.2,0.0
2007,MUNICIPALIDAD DE MONTES DE OCA,611814170.05,27926078.3,55145300.0,19043244.97,5030579.15,33843564.449999996,77857231.8,162433966.6,
2007,MUNICIPALIDAD DE MONTES DE ORO,86353018.39,10655536.03,15516500.0,922836.77,2999160.4,21304137.4,42287644.5,8200000.0,0.0
2007,MUNICIPALIDAD DE MORA,108698434.74,9000605.17,67661500.0,6056300.88,901123.0,35203989.14,28700901.84,3640262.64,0.0
2007,MUNICIPALIDAD DE MORAVIA,383579197.96,24945716.919999998,6952000.0,5826765.5600000005,968146.7,50829974.92,10871734.379999999,74957500.0,
2007,MUNICIPALIDAD DE NANDAYURE,99292357.56,16557333.96,41460000.0,7751966.22,2775031.5,16207760.81,15809337.83,3789000.0,0.0
2007,MUNICIPALIDAD DE NARANJO,154096945.47,19434582.189999998,34682631.2,2949638.15,3019741.99,7543706.41,19821092.509999998,45944580.0,5735882.0
2007,MUNICIPALIDAD DE NICOYA,288717618.91,26331057.34,27700642.2,5061472.3,6731755.51,8680265.0,101089537.82000001,185027132.6,0.0
2007,MUNICIPALIDAD DE OREAMUNO,193536438.60999998,26746645.36,67074685.0,1860768.94,1086604.0,8488589.44,36634144.12,1429000.0,
2007,MUNICIPALIDAD DE OROTINA,156953750.60999998,12579940.41,684000.0,6358370.0,2691233.1,6737041.03,119718584.13,143728170.13,
2007,MUNICIPALIDAD DE OSA,139828932.84,16651784.7,13980000.0,2035966.3199999998,2370308.6,23799967.35,181182450.76,329641979.42999995,0.0
2007,MUNICIPALIDAD DE PALMARES,130153304.23,14462785.11,4230025.0,3341791.0100000002,2801588.0,125271924.0,16857998.04,12200000.0,7000000.0
2007,MUNICIPALIDAD DE PARAISO,268950908.69,21982399.4,989000.0,2478241.06,6743586.48,11421692.399999999,13416391.42,11680000.0,0.0
